date,strategy_net,benchmark_net
2021-09-02,1.0353854331107681,0.999568327570746
2021-09-07,1.0376177760168153,0.9910539383438024
2021-09-08,1.035317957197217,0.9847625783451213
2021-09-09,1.035987018094745,0.988703669259215
2021-09-13,1.0239484009946371,0.9702762655734243
2021-09-14,1.0211478119027837,0.9808752044589931
2021-09-15,1.024215559258171,0.986609999834975
2021-09-16,1.0257595200771141,0.9867669786406603
2021-09-21,0.992882952773273,0.9262379096316645
2021-09-22,1.0060910487449617,0.9525547366029214
2021-09-23,1.0157105704250657,0.9658033561932757
2021-09-27,1.0124472785543241,0.9481921868573562
2021-09-28,0.9946455718231374,0.9301885858117479
2021-09-29,0.9985675196766329,0.936553614861536
2021-10-07,1.035083041622686,1.0358354890786192
2021-10-11,1.0328628048922948,1.0531453071375083
2021-10-12,1.0328663318708176,1.0473197513483716
2021-10-13,1.0355103057214732,1.055244553991806
2021-10-14,1.0469176399894082,1.0623686679045616
2021-10-18,1.060427298963319,1.094234980993294
2021-10-19,1.0678274615139207,1.1094764622284734
2021-10-20,1.0741208867217065,1.1221730903667366
2021-10-21,1.0724149782096188,1.103972634578731
2021-10-25,1.0767360184150434,1.1110529825308832
2021-10-26,1.068471529894793,1.0903946800344642
2021-10-27,1.0602270334820343,1.0747204373177788
2021-10-28,1.0728592286789078,1.0947259584647293
2021-11-01,1.070501899751279,1.0929913881001398
2021-11-02,1.0749849988567681,1.106863909547102
2021-11-03,1.0819207325643956,1.110873549077553
2021-11-04,1.0806499689317335,1.101771834676339
2021-11-08,1.0927728985562013,1.140367456226238
2021-11-09,1.0879392649717237,1.1338524528550036
2021-11-10,1.086086403920643,1.1252250721009314
2021-11-11,1.0853533828079267,1.1239340131439317
2021-11-15,1.0882232254219817,1.1197508368705067
2021-11-16,1.0857517354454063,1.1005946116659773
2021-11-17,1.081010478383279,1.0978364119674489
2021-11-18,1.0819089355268405,1.0821048535820745
2021-11-22,1.0797917273686681,1.078078281407213
2021-11-23,1.0829582844851962,1.0870647390352586
2021-11-24,1.0824470174147947,1.0840042689513398
2021-11-29,1.0721935298225302,1.079560052462146
2021-11-30,1.0596822495657305,1.0682957282746854
2021-12-01,1.0548635556923343,1.0667055339723754
2021-12-02,1.0662533094036388,1.0710604039486613
2021-12-06,1.0610436956800342,1.0355112726660574
2021-12-07,1.0791623656458074,1.0488346341270434
2021-12-08,1.0875451262265,1.0547380429643063
2021-12-09,1.0768425854399657,1.0303531293433408
2021-12-13,1.0751920222394995,1.0240585649249632
2021-12-14,1.070492636848519,1.0307399222853042
2021-12-15,1.0826482111288787,1.0417948956691632
2021-12-16,1.068716613359782,1.0244570533446753
2021-12-20,1.0500846274331435,1.0080665401117912
2021-12-21,1.063402439711252,1.0282506787861532
2021-12-22,1.0714477544919303,1.0319539870902297
2021-12-23,1.0764260477006262,1.048123396162343
2021-12-27,1.087241551872434,1.054581505492015
2021-12-28,1.0752995244796089,1.0272600092238835
2021-12-29,1.0774660403834433,1.0225928484290363
2021-12-30,1.078434258866219,1.0277707391936783
2022-01-03,1.076480246967137,1.022412841884157
2022-01-04,1.0700680705844494,1.0143519615916985
2022-01-05,1.0513640861785887,0.9868297349910057
2022-01-06,1.050661673066703,0.9840112489399436
2022-01-10,1.0433044668999163,0.9710431717727925
2022-01-11,1.0542418177130257,0.984234936067286
2022-01-12,1.0495327208834695,0.9887375945266358
2022-01-13,1.0364779753359765,0.9714077621157968
2022-01-18,1.0336163241163003,0.967896289995305
2022-01-19,1.031920909165796,0.9621847050050304
2022-01-20,1.020442955356706,0.9481581000016744
2022-01-24,0.9953776436676415,0.9053638306202946
2022-01-25,0.9939637758491662,0.9063163611579493
2022-01-26,0.9832908207739929,0.8984149610568825
2022-01-27,0.9761517892734043,0.896152701838442
2022-02-07,1.011342031118967,0.9638925096595388
2022-02-08,1.019916785123307,0.9710417985510181
2022-02-09,1.0260139610451655,0.9773536090234741
2022-02-10,1.0120736714418161,0.9623592500913614
