date,strategy_net,benchmark_net
2022-05-26,0.9931483169228197,0.8584805110043204
2022-05-29,0.9950645216267768,0.8594608560375819
2022-05-30,0.9979435364205697,0.8695598513341153
2022-05-31,0.9953858936418424,0.8645045697262723
2022-06-01,0.9937491017404284,0.8589268743027217
2022-06-05,0.9938882378084437,0.8639537820886463
2022-06-06,0.9967133180934074,0.8701737308334719
2022-06-07,1.0024542570450865,0.8795230812677098
2022-06-08,1.0013376878062008,0.8783890962703825
2022-06-09,1.0052230093675512,0.8837373237930055
2022-06-12,1.002274505844933,0.8652159575311026
2022-06-13,1.0029110529372538,0.8776925865830896
2022-06-14,1.004213209761385,0.9049172965202166
2022-06-15,1.0043025342910525,0.895797197336259
2022-06-16,1.010008289470576,0.9071389613674645
2022-06-19,1.0081420425749545,0.9079823632898785
2022-06-20,1.0078498417196655,0.9114111895952225
2022-06-21,1.006224353453874,0.8984559037565933
2022-06-22,1.0081342510910078,0.9072452933589303
2022-06-23,1.0128210581224861,0.9186918764781955
2022-06-26,1.0144872449495759,0.9357779936371724
2022-06-27,1.0167013181188371,0.9404451590208568
2022-06-28,1.013369795416605,0.9368850738617288
2022-06-29,1.0264180366811966,0.9545161511117526
2022-06-30,1.0257222115793043,0.950707474333204
2022-07-03,1.0328972673727723,0.9564468024008257
2022-07-04,1.0314570198781006,0.953843876338028
2022-07-05,1.0218962820864024,0.9376011518408389
2022-07-06,1.0176469749555364,0.9301932246045849
2022-07-07,1.017804423782428,0.9308712324925928
2022-07-10,1.0129794483317018,0.92444739450381
2022-07-11,1.0150927389486628,0.9233279256621894
2022-07-12,1.0038344228608778,0.9097810237728043
2022-07-13,0.9892355014307437,0.8967594879586482
2022-07-14,0.9826099883203336,0.8841797648866841
2022-07-17,0.9889838296059629,0.8949907060482247
2022-07-18,0.9884214615238129,0.8941555155907509
2022-07-19,0.9913817401564265,0.897407989714824
2022-07-20,0.9846050220348762,0.8897399278720153
2022-07-21,0.9868978349743078,0.893626903647345
2022-07-24,0.9899485169654523,0.896371958882545
2022-07-25,0.9931917090192821,0.8952141339183467
2022-07-26,0.9868841137372459,0.886604630964364
2022-07-27,0.9849090700943643,0.885552751002969
2022-07-28,0.9814856555515366,0.8720735239341879
2022-07-31,0.9786041466303701,0.8655779051986138
2022-08-01,0.9722689368526157,0.8519134046842756
2022-08-02,0.9712880533949833,0.8439324917380836
2022-08-03,0.980560178172515,0.8576026985338953
2022-08-04,0.9821756654971282,0.8705254042655094
2022-08-07,0.9797550207269099,0.8653849916775184
2022-08-08,0.9796568761582811,0.8614386857281325
2022-08-09,0.9774768244655458,0.8512053370486242
2022-08-10,0.9794897239860572,0.8690878875077778
2022-08-11,0.9804771461001724,0.8728558396859232
2022-08-14,0.9782050557857059,0.8628147434644368
2022-08-15,0.9765655727439166,0.8612498672502171
2022-08-16,0.9771857205822865,0.8690973720879132
2022-08-17,0.9737953688496391,0.8582172460758951
2022-08-18,0.9729200443033071,0.860512034137197
2022-08-21,0.9700056728709072,0.8586874106040562
2022-08-22,0.9685697170437948,0.8477755981988604
2022-08-23,0.9680742487582565,0.8457872990999789
2022-08-24,0.9698501407614085,0.8620303239162033
2022-08-25,0.9690786371782167,0.8635915382738619
2022-08-28,0.9672095990497435,0.8559364018095141
2022-08-29,0.9652434352432778,0.8566784174448864
2022-08-30,0.9687611919767688,0.8735005182674718
2022-08-31,0.967301542739208,0.8663619705524872
2022-09-01,0.967301542739208,0.858022103833487
2022-09-04,0.967301542739208,0.8549575223540735
2022-09-05,0.967301542739208,0.853926019857805
2022-09-06,0.967301542739208,0.8453973036340967
2022-09-07,0.967301542739208,0.8479501281721776
2022-09-08,0.967301542739208,0.8683541574635714
2022-09-12,0.967301542739208,0.8809235266651233
2022-09-13,0.967301542739208,0.8738840955739315
2022-09-14,0.967301542739208,0.8827020976130048
2022-09-15,0.967301542739208,0.8618902948495422
2022-09-18,0.9669388046606807,0.8625623869654265
2022-09-19,0.9650487247648085,0.8515751832068612
2022-09-20,0.9647844002715834,0.8462748079382094
2022-09-21,0.9629305735348551,0.8342478524072966
2022-09-22,0.9644406054490268,0.8395006591179377
2022-09-25,0.9629469439937264,0.8304209895931559
2022-09-26,0.9628127166527739,0.8427679601191932
2022-09-27,0.9612675943751424,0.8386880234305826
2022-09-28,0.959636945360087,0.8354688326258988
2022-09-29,0.9603933230040367,0.8349296564938223
2022-10-09,0.9599488231037571,0.8145726010298641
2022-10-10,0.9592970568216327,0.8111776771288797
2022-10-11,0.9613651016408803,0.8097483176250664
2022-10-12,0.9597691649434685,0.7999564042566025
2022-10-13,0.961452608853915,0.8224094501782319
2022-10-16,0.961893828986473,0.8250721884217516
2022-10-17,0.9609127189329908,0.821263894569973
2022-10-18,0.9591553049798359,0.8054098929720056
2022-10-19,0.9591553049798359,0.7945890330148172
2022-10-20,0.9591553049798359,0.7893004989509892
2022-10-23,0.9591553049798359,0.7564982792508865
2022-10-24,0.9591553049798359,0.7544585734908856
2022-10-25,0.9591553049798359,0.7570172232628947
2022-10-26,0.9591553049798359,0.7522329812869887
2022-10-27,0.9591553049798359,0.7267610335093856
2022-10-30,0.9591553049798359,0.7201799482717754
2022-10-31,0.9591553049798359,0.7503860285585808
2022-11-01,0.9591553049798359,0.7557774162143329
2022-11-02,0.9591553049798359,0.7456999610318745
2022-11-03,0.9591553049798359,0.7692131753401303
2022-11-06,0.9591553049798359,0.771235125945623
2022-11-07,0.9591553049798359,0.7646922912998103
2022-11-08,0.9591553049798359,0.7624141404562854
2022-11-09,0.9591553049798359,0.7635752634993154
2022-11-10,0.9587956217404685,0.7917242690414051
2022-11-13,0.9634968131760993,0.8153021838523897
2022-11-14,0.9619715357527078,0.8268406236778011
2022-11-15,0.9627276124753504,0.8239102020859411
2022-11-16,0.9624569130092083,0.8169842688163473
2022-11-17,0.9620651313249298,0.8126062235734245
2022-11-20,0.9636065148917043,0.8015150020991544
2022-11-21,0.9610361004909386,0.8093988244411675
2022-11-22,0.9597872896352043,0.8073005756680836
2022-11-23,0.9593876856522022,0.803801404874623
2022-11-24,0.9601892306337882,0.8164713340036885
2022-11-27,0.9588100006995914,0.8025646529998892
2022-11-28,0.9614726737834252,0.8477343707294162
2022-11-29,0.9608044782178693,0.8453507519442237
2022-11-30,0.9627578291265714,0.854448865936943
2022-12-01,0.9624569823518221,0.8496438329329175
2022-12-04,0.9670531292734884,0.8756131738952146
2022-12-05,0.9670531292734884,0.8784713081934139
2022-12-06,0.9688032281669107,0.8783679347747737
2022-12-07,0.9640722143427305,0.8775823759050192
2022-12-08,0.9689865136075605,0.8954512917267813
2022-12-11,0.9683202770829394,0.8834838737249117
2022-12-12,0.9668134247464202,0.8846248151294919
2022-12-13,0.9691289410623104,0.8922733465471822
2022-12-14,0.9635555366665234,0.8829737235093521
2022-12-15,0.9657918046331517,0.8910590008935249
2022-12-18,0.959544363429337,0.8784863802327814
2022-12-19,0.9436697823077763,0.8572227473046947
2022-12-20,0.9467850110783061,0.8625999394279936
2022-12-21,0.9521525675538066,0.8712257197584448
2022-12-22,0.9528702316792784,0.8714372493675864
2022-12-25,0.9454002836588846,0.8616162053096177
2022-12-26,0.9528397821779858,0.8752496289892305
2022-12-27,0.9555263786640339,0.8786732283187991
2022-12-28,0.9501084439865494,0.875831264483243
2022-12-29,0.9561784290735842,0.8825892178182686
2023-01-02,0.9616904181003274,0.8874161818415085
2023-01-03,0.9783427115458325,0.9037461895965145
2023-01-04,0.992563614743908,0.9191533504820268
2023-01-05,0.9932770657818403,0.9191084408275915
2023-01-08,1.0022797874459357,0.9281488425681524
2023-01-09,0.9954285917471694,0.9212996903718961
2023-01-10,1.0051871854052463,0.9276086314548065
2023-01-11,1.004577093397475,0.925061729463521
2023-01-12,1.0213846042823211,0.9450601319968509
2023-01-15,1.0334447502197146,0.9678191917021912
2023-01-16,1.0328006619596806,0.9645471763211307
2023-01-17,1.0255822538382058,0.9560697566346621
2023-01-18,1.026755241020781,0.963128491828351
2023-01-19,1.0269983524469546,0.9630773378910722
2023-01-29,1.031928626797793,0.9668892297655873
2023-01-30,1.019599584460694,0.9524239110548572
2023-01-31,1.0164887425351226,0.9507456697104466
2023-02-01,1.0083484542950631,0.9441191720644897
2023-02-02,0.9944626439592285,0.9305900088176158
2023-02-05,0.9747045580556343,0.9112482585568448
2023-02-06,0.9784321965655943,0.9137021468282811
2023-02-07,0.9754646457358978,0.9132645943419928
2023-02-08,0.9831041796140949,0.9222456774579433
2023-02-09,0.9801216518850987,0.9193141381038122
2023-02-12,0.9825394311829623,0.9251829903180689
2023-02-13,0.9852936549939514,0.9284271651250438
2023-02-14,0.972838330691126,0.9156257548856029
2023-02-15,0.9731893208509159,0.9133707584164396
2023-02-16,0.9646869915813474,0.9063673122518909
2023-02-19,0.9922328865365305,0.9352878156534616
2023-02-20,0.9917997475461673,0.9348795348701213
2023-02-21,0.9799627312752524,0.9237218548112364
2023-02-22,0.9782056655241751,0.922065628525469
2023-02-23,0.9653182531104015,0.910263610042977
2023-02-26,0.9610537319102375,0.9062297418187094
2023-02-27,0.9641287834522647,0.9099476588626803
2023-02-28,0.9774178720294705,0.9308993514540504
2023-03-01,0.9762007490083879,0.9304547656292833
2023-03-02,0.9767383675849874,0.9326966131460533
2023-03-05,0.9638803688092604,0.916461504386404
2023-03-06,0.9555639745510953,0.9021630188570017
2023-03-07,0.9522062318705157,0.8945241438092104
2023-03-08,0.9500302952878219,0.887427810260979
2023-03-09,0.9474394268514142,0.8759803298094184
2023-03-12,0.9479188509116155,0.8780064451274991
2023-03-13,0.9483613634164354,0.8708125451192033
2023-03-14,0.9470596983075482,0.8713547120382616
2023-03-15,0.946255707158869,0.8660503611737521
2023-03-16,0.9451804165825521,0.8648478491148173
2023-03-19,0.9439793132760842,0.8585736444371852
2023-03-20,0.9474672127928233,0.8721762668891642
2023-03-21,0.9504064358982025,0.8772084783236456
2023-03-22,0.9505192571750185,0.8825889471869658
2023-03-23,0.9478137943936855,0.8766951885674271
2023-03-26,0.9522998062846265,0.8755316875007373
